"Дата публикации","Автор","Текст отзыва","Оценка","Количество фотографий","Наличие видео","Теги"
"Дата не указана","Татьяна","Достоинства:Светит очень хорошо， а какая красота с ним， потолок заиграл совсем другими красками) Комментарий:Пришло все целое， освещается вся комна， советую Спасибо за ваш отзыв， Татьяна! Мы рады， что вам понравился наш ночник звездное небо проектор. Надеемся， что он принесет вам радость и уют в вашу комнату. Будем рады видеть вас снова в нашем магазине. ещё. Достоинства:Светит очень хорошо， а какая красота с ним， потолок заиграл совсем другими красками)",5,4,true,"Нет тегов"
"Сегодня, 14:05","Наталья","Достоинства:Маленький качественный ночник， пульт с разными цветами， провод длинный， всё ок Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно， что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис， чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё. Достоинства:Маленький качественный ночник， пульт с разными цветами， провод длинный， всё ок",5,1,true,"Нет тегов"
"Сегодня, 13:53","Наталья","Достоинства:Внешний вид Недостатки:Не нашла Комментарий:Светится ярко， товар соответствует описанию， пришел целый Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно， что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис， чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё. Достоинства:Внешний вид. Недостатки:Не нашла",5,3,true,"ВНЕШНИЙ ВИД; ВНЕШНИЙ ВИД"
"Сегодня, 13:40","Кристина","Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно， что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис， чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё",5,0,false,"ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ; ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ"
"Сегодня, 13:30","Анастасия","Достоинства:интересный дизайн， легкость в управлении， качество Недостатки:хотелось бы， чтобы звездочки тоже можно было регулировать по цветам Комментарий:классный ночник-проектор， светит ярко， можно регулировать яркость👍🏼 классный интересный дизайн. залипаем перед сном всей семьей😍 Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно， что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис， чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё. Достоинства:интересный дизайн， легкость в управлении， качество. Недостатки:хотелось бы， чтобы звездочки тоже можно было регулировать по цветам",5,3,true,"ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ; ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ"
"Сегодня, 13:19","Асият","Достоинства:Отличный ночник 👍 Спасибо， Асият， за ваш отзыв! Мы рады， что вам понравился наш детский ночник. Будем рады видеть вас снова в нашем магазине! ещё. Достоинства:Отличный ночник 👍",5,1,true,"Нет тегов"
"Сегодня, 13:18","Олег","Все отлично. Спасибо， Олег， за отзыв! Мы рады， что вам понравился наш ночник звездное небо проектор. Пусть он создает у вас уютную атмосферу и незабываемую атмосферу. С наступающим Новым годом! ещё",5,1,false,"ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ; ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ"
"Сегодня, 13:06","Нина","Достоинства:Класс! Все целое пришло ， работает ! Дорогая Нина， спасибо за ваш отличный отзыв о нашем ночнике звездного неба проекторе! Мы рады， что вам понравился этот космический подарок к Новому году. Будем рады видеть вас снова у нас в магазине! ещё. Достоинства:Класс! Все целое пришло ， работает !",5,0,false,"Нет тегов"
"Сегодня, 12:54","Виктор","Достоинства:Пришло вовремя ，все функции работают Недостатки:Минусов не обнаружилось Комментарий:Советую ， по вечерам комфортно Спасибо за ваш отзыв， Виктор! Мы рады， что вам понравился наш детский ночник. Надеемся， что он будет радовать вас и вашего малыша каждый вечер. Обращайтесь к нам снова， будем рады помочь! ещё. Достоинства:Пришло вовремя ，все функции работают. Недостатки:Минусов не обнаружилось",5,0,false,"Нет тегов"
"Сегодня, 12:48","Светлана","Достоинства:Светильник уже беру третий， все на подарки детям. Очень приятно и уютно внучка сказала. Спасибо. Спасибо за ваш отзыв， Светлана! Мы рады， что вам понравился наш ночник звездное небо проектор. Надеемся， что он создаст у вас уютную атмосферу и украсит ваш интерьер. С наступающим Новым Годом! Будем рады видеть вас снова у нас на сайте. ещё. Достоинства:Светильник уже беру третий， все на подарки детям. Очень приятно и уютно внучка сказала. Спасибо.",5,0,false,"ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ; ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ"
"Сегодня, 12:40","Елена","Хороший ночник， светит достаточно ярко， можно регулировать уровень освещения. Думала чуть побольше будет. Но в принципе для ночника все ок Спасибо за ваш отзыв， Елена! Мы рады， что ночник вам понравился и его свет вас устраивает. Мы постараемся учесть ваш комментарий о размере при разработке новых товаров. Надеемся на дальнейшее сотрудничество с вами! ещё",5,2,true,"Нет тегов"
"Сегодня, 12:05","Софья","Достоинства:Это малыш просто супер， компактный， аккуратный， красивый! Светит просто супер， качество огонь❤️ Недостатки:Недостатков нет Комментарий:Спасибо продавцу❤️ Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно， что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис， чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё. Достоинства:Это малыш просто супер， компактный， аккуратный， красивый! Светит просто супер， качество огонь❤️. Недостатки:Недостатков нет",5,0,false,"ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ; ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ"
"Сегодня, 11:31","Валентина","Достоинства:Компактный Комментарий:Прикольная малютка， сыну понравилось... Удобно с пульта включать， выключать， переключать режимы свечения. Рекомендую к покупке Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно， что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис， чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё. Достоинства:Компактный",5,2,true,"ВНЕШНИЙ ВИД; УДОБНО ПОЛЬЗОВАТЬСЯ; ВНЕШНИЙ ВИД; УДОБНО ПОЛЬЗОВАТЬСЯ"
"Сегодня, 11:29","Вита","Достоинства:Отличне качество Недостатки:Минус нет Комментарий:Освещает всю комнату， ребенок доволен. Добрый день! Благодарим вас за оставленный отзыв и выбор нашей компании. Пользуйтесь с удовольствием! Также вы можете ознакомиться с большим ассортиментом товаров нашего магазина. Мы уверены， что найдете еще что-то， что придется вам по душе по приятной цене! Желаем выгодных покупок :) ещё. Достоинства:Отличне качество. Недостатки:Минус нет",5,0,false,"Нет тегов"
"Сегодня, 11:22","Ирина","Достоинства:Отличный ночник. Ребенок в восторге. Дорогая Ирина， благодарим вас за отличный отзыв о нашем детском ночнике! Мы рады， что вам понравился наш товар и приносит радость вашему ребенку. Надеемся на дальнейшее сотрудничество и ждем ваших новых заказов. Спасибо за доверие! ещё. Достоинства:Отличный ночник. Ребенок в восторге.",5,4,true,"ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ; ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ"
"Сегодня, 11:08","Инна","Достоинства:Миниатюрный， но светит хорошо Спасибо за отзыв， Инна! Мы рады， что вам понравился наш ночник детский. Будем рады видеть вас снова в нашем магазине. Если у вас есть какие-либо вопросы или пожелания， обращайтесь к нам с уважением. ещё. Достоинства:Миниатюрный， но светит хорошо",5,1,true,"ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ"
"Сегодня, 11:02","Татьяна","Достоинства:Ночник в форме космонавта — настоящая находка для любителей космоса и оригинальных интерьерных решений! Этот светильник не только прекрасно дополняет атмосферу детской комнаты， спальни или гостиной， но и создает уютную обстановку благодаря мягкому， приятному свету. Детали выполнены качественно， корпус прочный и безопасный. Особый восторг вызывает подсветка， создающая ощущение полета среди звезд， помогающая расслабиться перед сном и погрузиться в мир грез. Отличный подарок как ребенку， так и взрослому поклоннику космических приключений! Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно， что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис， чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё. Достоинства:Ночник в форме космонавта — настоящая находка для любителей космоса и оригинальных интерьерных решений! Этот светильник не только прекрасно дополняет атмосферу детской комнаты， спальни или гостиной， но и создает уютную обстановку благодаря мягкому， приятному свету. Детали выполнены качественно， корпус прочный и безопасный. Особый восторг вызывает подсветка， создающая ощущение полета среди звезд， помогающая расслабиться перед сном и погрузиться в мир грез. Отличный подарок как ребенку， так и взрослому поклоннику космических приключений!",5,0,false,"Нет тегов"
"Сегодня, 10:51","Оксана","Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно， что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис， чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё",5,0,false,"ХОРОШЕЕ КАЧЕСТВО; ХОРОШЕЕ КАЧЕСТВО"
"Сегодня, 10:27","Покупатель Wildberries","Крутой ночник! Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно， что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис， чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё",5,0,false,"Нет тегов"
"Сегодня, 09:10","Южана","Наслаждаюсь каждый вечер перед сном 😍🤩 Очень классно для детей и взрослых Спасибо большое за ваш отзыв， Южана! Мы рады， что вам понравился наш ночник звездное небо проектор космонавт. Надеемся， что он будет радовать вас каждый вечер перед сном. Мы действительно стараемся делать наши товары удобными и интересными как для детей， так и для взрослых. Обращайтесь， если вам потребуется еще что-то у нас! 🌟🌌😊 ещё",5,0,true,"Нет тегов"
"Сегодня, 09:08","Вера","Недостатки:Без зарядки не работает Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно， что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис， чтобы каждый покупатель оставался доволен. Наш космонавт работает от сети， он не заряжается，вся информация указана в карточке товара Будем рады видеть вас снова! ещё. Недостатки:Без зарядки не работает",4,0,false,"Нет тегов"
"Сегодня, 08:52","Александр","Спасибо большое за отзыв， Александр! Мы рады， что вам понравился наш ночник звездное небо проектор. Надеемся， что он будет прекрасным подарком на Новый Год. Если у вас возникнут вопросы или пожелания， обращайтесь. Будем рады помочь! ещё",5,0,false,"ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО"
"Сегодня, 08:52","Александр","Спасибо за ваш отзыв， Александр! Мы рады， что вам понравился наш ночник звездное небо проектор космонавт. Надеемся， что он будет радовать вас и создавать уютную атмосферу в вашем доме. Обращайтесь к нам снова， мы всегда рады помочь! ещё",5,0,false,"ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО"
"Сегодня, 08:36","Екатерина","Достоинства:Ночник миниатюрный， сделан качественно， очень красивые иллюминации) ребенку очень понравился Недостатки:Жаль， что только от сети работает. Комментарий:Идея для подарка на Новый год! Спасибо за отзыв， Екатерина! Рады， что вам понравился наш ночник-космонавт. Надеемся， что он будет радовать вас и создавать уютную атмосферу в вашем доме. Приятных вам покупок и с наступающим Новым годом! ещё. Достоинства:Ночник миниатюрный， сделан качественно， очень красивые иллюминации) ребенку очень понравился. Недостатки:Жаль， что только от сети работает.",5,0,false,"ВНЕШНИЙ ВИД; ВНЕШНИЙ ВИД"
"Сегодня, 07:51","Муса","Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно， что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис， чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё",5,0,false,"ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ; ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ"
"Сегодня, 06:44","Ирина","Достоинства:Товар пришел не доукомплектован， нет пульта. Как то можно вопрос с пультом решить!? Спасибо за ваш отзыв， Ирина! Мы рады， что вам понравился наш ночник звездное небо проектор. Надеемся， что он принесет вам много радости и уюта. С наступающим Новым годом и обращайтесь еще!Напишите нам в чат с продавцом!! ещё. Достоинства:Товар пришел не доукомплектован， нет пульта. Как то можно вопрос с пультом решить!?",5,0,false,"Нет тегов"
"Сегодня, 06:16","Максим","Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно， что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис， чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё",5,0,false,"ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ; ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ"
"Сегодня, 04:46","Инна","Достоинства:Маленький， удобно брать с собой Недостатки:- Комментарий:Учень красиво， сын в восторге. Спасибо， Инна， за ваш отзыв! Мы рады， что ночник звездное небо пришелся по вкусу вашему сыну. Надеемся， что он будет радовать его еще долгое время. Обращайтесь к нам снова， будем рады помочь! ещё. Достоинства:Маленький， удобно брать с собой. Недостатки:-",5,3,true,"ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ; ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ"
"Сегодня, 00:34","Анастасия","Ночник хороший，без зарядки работает долго，несколько режимов. Спасибо， Анастасия， за ваш отзыв! Мы рады， что вам понравился наш детский ночник. Надеемся， что он будет служить вам долго и принесет уют и комфорт вашему ребенку. Благодарим за ваш выбор и ждем вас снова в нашем магазине! ещё",5,1,true,"Нет тегов"
"Вчера, 23:45","Полина","Достоинства:Очень красиво 🥹 качественный ночник Спасибо за отличный отзыв， Полина! Мы рады， что вам понравился наш ночник звездное небо. Надеемся， что он будет радовать вас каждую ночь и создавать уютную атмосферу в вашей комнате. Будем рады видеть вас снова у нас на сайте! ещё. Достоинства:Очень красиво 🥹 качественный ночник",5,1,true,"Нет тегов"
"Вчера, 23:20","Алёна","Ночник классненький， особенно на подарок отличный. Спасибо большое за отзыв， Алёна! Мы рады， что ночник вам понравился и стал отличным подарком. Надеемся， что он будет радовать вас своим свечением и создавать уютную атмосферу. Будем рады видеть вас снова в нашем магазине! ещё",5,0,false,"Нет тегов"
"Вчера, 22:19","Альвина","Супер， дети в восторге ❤ Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно， что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис， чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё",5,0,true,"Нет тегов"
"Вчера, 22:15","Покупатель Wildberries","Красивый ночник. Много режимов. Можно поставить один цвет или перелив Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно， что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис， чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё",5,1,true,"ВНЕШНИЙ ВИД; ВНЕШНИЙ ВИД"
"Вчера, 22:04","Тамара","Достоинства:Понравился ночник внуку，звёзды ярко светят...спасибо Добрый день! Благодарим вас за оставленный отзыв и выбор нашей компании. Пользуйтесь с удовольствием! Также вы можете ознакомиться с большим ассортиментом товаров нашего магазина. Мы уверены， что найдете еще что-то， что придется вам по душе по приятной цене! Желаем выгодных покупок :) ещё. Достоинства:Понравился ночник внуку，звёзды ярко светят...спасибо",5,0,false,"Нет тегов"
"Вчера, 22:03","Светлана","Достоинства:Очень ребёнку понравился，купили ещё..на подарок. Недостатки:Минусов нет Комментарий:Рекомендую Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно， что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис， чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё. Достоинства:Очень ребёнку понравился，купили ещё..на подарок.. Недостатки:Минусов нет",5,1,true,"Нет тегов"
"Вчера, 21:37","Ольга","Достоинства:Очень красиво Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно， что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис， чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё. Достоинства:Очень красиво",5,0,false,"ВНЕШНИЙ ВИД; ВНЕШНИЙ ВИД"
"Вчера, 21:32","Татьяна","Недостатки:Очень нравится， спасибо. Добрый день! Благодарим вас за оставленный отзыв и выбор нашей компании. Пользуйтесь с удовольствием! Также вы можете ознакомиться с большим ассортиментом товаров нашего магазина. Мы уверены， что найдете еще что-то， что придется вам по душе по приятной цене! Желаем выгодных покупок :) ещё. Недостатки:Очень нравится， спасибо.",5,0,false,"Нет тегов"
"Вчера, 20:51","Покупатель Wildberries","Достоинства:Все работает， пульт переключает Недостатки:Не яркий Комментарий:Заказывал подобную модель у другого продавца， свет ярче， но пришлось отказаться из-за не работающего пульта， а так в целом минусов нет Спасибо за ваш отзыв и оценку! Мы рады， что вам понравился наш ночник. Мы постараемся учесть вашу обратную связь и улучшить качество наших товаров. Будем рады видеть вас снова у нас в магазине! ещё. Достоинства:Все работает， пульт переключает. Недостатки:Не яркий",5,0,true,"Нет тегов"
"Вчера, 20:41","Анна","Достоинства:Светит классно， светильник выглядит достойно， миниатюрный， батарейки в комплекте👍🏼 цена вообще радует Комментарий:Детям зашло на 100%😍 Спасибо большое， Анна! Мы рады， что ночник звездное небо понравился вашим детям на 100%! Будем рады видеть вас снова у нас в магазине.😊 ещё. Достоинства:Светит классно， светильник выглядит достойно， миниатюрный， батарейки в комплекте👍🏼 цена вообще радует",5,2,true,"Нет тегов"
"Вчера, 20:30","Наталья","Достоинства:Разные цвета Комментарий:Хорошее освещение， меняет цвет при легком касании， не тревожит глаза ярким светом. Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно， что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис， чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё. Достоинства:Разные цвета",5,2,true,"ВНЕШНИЙ ВИД; УДОБНО ПОЛЬЗОВАТЬСЯ; ВНЕШНИЙ ВИД; УДОБНО ПОЛЬЗОВАТЬСЯ"
"Вчера, 20:30","Анна Соколова","Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно， что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис， чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё",5,0,false,"ВНЕШНИЙ ВИД; ВНЕШНИЙ ВИД"
"Вчера, 20:09","Кристина Коноплёва","Достоинства:Хороший светильник， малышу понравился пульт управления， заряжает от юсб си， товар качественный Недостатки:Все отлично Комментарий:Работает， много разных режимов света Спасибо за отзыв， Кристина! Мы рады， что ночник вам понравился и помогает создать уютную атмосферу. Надеемся， что он будет служить вам долго и радовать разнообразием режимов света. Будем рады видеть вас снова у нас! ещё. Достоинства:Хороший светильник， малышу понравился пульт управления， заряжает от юсб си， товар качественный. Недостатки:Все отлично",5,2,true,"Нет тегов"
"Вчера, 19:48","Кристина","Здравствуйте，свяжитесь с нами в чате с продавцом и мы постараемся разрешить проблему.Если вы осуществляете вход в личный кабинет с компьютера， раздел Профиль > Покупки > наведите мышку на товар， снизу появиться всплывающая строка ""Чат с продавцом"". Если вы осуществляете вход с мобильного телефона Профиль > Покупки > нажать три точки на купленном товаре， выбрать раздел ""Написать продавцу"". Благодарим за обращение. ещё",1,0,false,"БРАК; БРАК"
"Вчера, 19:44","Диана","Достоинства:Милый ночник， работает отлично， есть много режимов свечения， в комплекте пульт и шнур， покупкой довольна! Спасибо за отличный отзыв， Диана! Мы рады， что вам понравился наш детский ночник. Надеемся， что он будет служить долго и приносить вам радость каждую ночь. Обращайтесь к нам снова， мы всегда рады помочь! ещё. Достоинства:Милый ночник， работает отлично， есть много режимов свечения， в комплекте пульт и шнур， покупкой довольна!",5,1,true,"Нет тегов"
"Вчера, 19:41","Яна","Достоинства:Ещё незнаю Комментарий:Где шнур для зарядки? Здравствуйте，свяжитесь с нами в чате с продавцом и мы постараемся разрешить проблему.Если вы осуществляете вход в личный кабинет с компьютера， раздел Профиль > Покупки > наведите мышку на товар， снизу появиться всплывающая строка ""Чат с продавцом"". Если вы осуществляете вход с мобильного телефона Профиль > Покупки > нажать три точки на купленном товаре， выбрать раздел ""Написать продавцу"". Благодарим за обращение. ещё. Достоинства:Ещё незнаю",2,0,false,"Нет тегов"
"Вчера, 19:33","Елена","Достоинства:Классный ночник， дети довольны. Спасибо продавцу Спасибо， Елена， за отличный отзыв о нашем ночнике для детей! Мы рады， что вам понравился товар. Если у вас возникнут вопросы или пожелания， обращайтесь к нам - будем рады помочь. Благодарим за покупку и надеемся на дальнейшее сотрудничество! ещё. Достоинства:Классный ночник， дети довольны. Спасибо продавцу",5,1,true,"ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ; ВНЕШНИЙ ВИД; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ"
"Вчера, 19:32","Элина","Достоинства:Удобно использовать ночью. Комментарий:Хороший ночник в детскую. Благодарим вас， Элина， за ваш отзыв! Мы рады， что ночник вам понравился и пригодился в детской комнате. Надеемся， что он будет радовать вас и вашего малыша каждую ночь. Если у вас будут еще вопросы или пожелания， обращайтесь к нам! ещё. Достоинства:Удобно использовать ночью.",5,1,true,"ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ; ХОРОШЕЕ КАЧЕСТВО; УДОБНО ПОЛЬЗОВАТЬСЯ"
